계약일자,발주기관,계약방법,목적물,계약명,계약금액,계약상대자
2026-07-14,인천상정고등학교,1인수의,용역,2026학년도 상반기 급식실 후드 청소 실시,1100000,주식회사 아톰
2026-07-08,인천길주초등학교,1인수의,용역,2026학년도 상반기 급식실 후드 청소,1100000,홈케어프로
2026-07-06,인천청선학교,1인수의,용역,장애인 경사로 및 다목적실 청소 용역,1100000,클린에어존
2026-07-03,용현여자중학교,1인수의,용역,2026년 급식실 후드 청소비 지급 (1학기),1100000,더클린
2026-07-03,가좌고등학교,1인수의,용역,급식실 외부덕트 청소,1100000,(주)쎈큐
2026-07-03,인천별빛초등학교,1인수의,용역,유치원 실내놀이터 청소 비용 지급,1100000,하트크린
2026-06-12,인천청호중학교,1인수의,용역,(중등) 학교급식 후드전문업체 청소(용역)비 지급,1100000,에어솔환경
2026-06-01,인천뷰티예술고등학교,1인수의,용역,2026년 제1차 급식소 후드 청소비 지급,1100000,하트크린
2026-05-22,작전중학교,1인수의,용역,2026년도 상반기 급식실 후드 청소 실시,1100000,창커뮤니케이션(미르엔)
2026-04-08,인천초은초등학교,1인수의,용역,유치원 실외놀이터 물청소비 지급,1100000,깨끗한 녀석들
2026-04-06,인천서로꿈유치원,1인수의,용역,지하주차장 대청소 실시,1100000,와우홈크리닝
2026-03-13,인천하늘중학교,1인수의,용역,학교 지하주차장 청소비 지급,1100000,신반장설비
2026-03-20,인천승학초등학교,1인수의,용역,2026학년도 각 실 선풍기날개 청소실시,1099000,토탈크린68
2026-05-11,인천부평초등학교,1인수의,용역,교내 천장형 선풍기 청소 비용지급,1093950,제이원시스템
2026-05-19,인천중앙초등학교,1인수의,용역,각 교실 및 특별실 선풍기 청소 실시,1093400,(주)새한에이치엠
2026-05-10,인천화전초등학교,1인수의,용역,천정형 냉난방기 필터 청소,1060000,창성크린
2026-03-27,남동중학교,1인수의,용역,교실 및 특별실(관리실) 선풍기 날개 청소,1056000,(주)크린웰
2026-05-21,인천천마초등학교,1인수의,용역,교실 선풍기 청소용역 실시,1054900,동연개발주식회사
